Observed concentration,Predicted concentration symbolic regression ALE,Predicted concentration Eleveld
4.2,4.6068935,4.310049
4.7,4.704472,4.3452253
4.2,6.204583,5.570156
4.9,5.9343786,5.4294095
3.2,3.685558,3.273594
1.3,1.5013579,1.1912229
5.3,3.81918,3.7754276
2.7,2.3282106,2.1907306
3.4,2.926225,2.7179704
4.0,3.0111692,2.8208616
5.4,3.9258401,3.810473
6.5,3.8654375,3.699195
6.5,3.8778384,3.6774933
6.3,3.9176147,3.701309
3.4,3.9181166,3.6737227
4.2,2.7396436,2.5697532
3.4,1.6366314,1.3022662
1.6,1.0244246,0.861081
2.6,3.925423,3.9667447
1.6,1.9800775,1.8521316
2.2,2.9203417,2.7514493
3.7,5.6521297,5.4761186
3.5,4.0181084,4.0827665
6.1,3.929718,3.843553
5.1,3.0486422,3.004458
3.3,3.8430347,3.686759
5.3,4.7497587,4.583949
3.9,2.8441267,2.4349077
1.6,1.6166283,1.4306574
1.000001,1.104657,1.0177993
5.5,5.46231,5.471765
5.8,4.0925117,4.1026554
3.9,4.390827,4.128126
3.6,4.520672,4.237317
5.5,5.9407573,5.5955925
6.0,5.7839074,5.5578923
6.0,5.923405,5.569742
8.6,5.936536,5.6122804
7.8,7.246905,6.968411
3.2,2.3296316,1.9390211
2.7,1.6555529,1.4630017
0.82,1.3577131,1.5152719
1.1,1.7839426,2.0291245
3.27,2.267849,2.580532
3.29,2.6257424,3.0097911
3.14,2.7356236,3.142857
3.25,3.0672233,3.520487
4.02,3.3804142,3.8792782
4.45,3.5057807,4.023889
4.74,2.0524685,2.7270236
0.31,1.2661731,1.2443211
1.24,1.790726,1.8873425
2.67,2.1725361,2.3831213
2.77,2.5749457,2.8768966
3.59,2.9841511,3.3662398
3.94,3.1925673,3.6109114
3.46,3.475885,3.9198403
5.09,3.83391,4.3665347
